function, start time, duration, instructions count, DTCM LD, DTCM ST, Vec LD count, Vec ST count, Sc LD count, Sc ST count, I Fetch Count, IO Read, IO Write
SystemInit, 5.000000, 19.000000, 19, 0, 0, 0, 0, 3, 4, 16, 0, 0
__scatterload_copy, 51295.000000, 13.000000, 8, 0, 0, 0, 0, 3, 3, 5, 0, 0
__decompress, 51329.000000, 75889.000000, 66730, 0, 0, 0, 0, 17925, 10944, 51242, 0, 0
__scatterload_zeroinit, 127239.000000, 506.000000, 503, 0, 0, 0, 0, 0, 126, 252, 0, 0
__rt_heap_descriptor, 127776.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
__Heap_Initialize, 127785.000000, 4.000000, 4, 0, 0, 0, 0, 0, 2, 3, 0, 0
__rt_heap_descriptor, 127824.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
_memset_w, 127871.000000, 26.000000, 24, 0, 0, 0, 0, 1, 8, 18, 0, 0
__aeabi_memclr4, 127870.000000, 27.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_memset_w, 127901.000000, 26.000000, 24, 0, 0, 0, 0, 1, 8, 18, 0, 0
__aeabi_memclr4, 127900.000000, 27.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_memset_w, 127931.000000, 26.000000, 24, 0, 0, 0, 0, 1, 8, 18, 0, 0
__aeabi_memclr4, 127930.000000, 27.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_fclose_internal, 127984.000000, 11.000000, 11, 0, 0, 0, 0, 3, 1, 8, 0, 0
strlen, 128019.000000, 19.000000, 17, 0, 0, 0, 0, 2, 1, 13, 0, 0
_sys_open, 128016.000000, 27.000000, 8, 0, 0, 0, 0, 1, 2, 5, 0, 0
_freopen_locked, 127977.000000, 82.000000, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0
_fclose_internal, 128072.000000, 11.000000, 11, 0, 0, 0, 0, 3, 1, 8, 0, 0
strlen, 128110.000000, 19.000000, 17, 0, 0, 0, 0, 2, 1, 13, 0, 0
_sys_open, 128107.000000, 27.000000, 8, 0, 0, 0, 0, 1, 2, 5, 0, 0
_freopen_locked, 128065.000000, 85.000000, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0
_fclose_internal, 128163.000000, 11.000000, 11, 0, 0, 0, 0, 3, 1, 8, 0, 0
strlen, 128201.000000, 19.000000, 17, 0, 0, 0, 0, 2, 1, 13, 0, 0
_sys_open, 128198.000000, 27.000000, 8, 0, 0, 0, 0, 1, 2, 5, 0, 0
_freopen_locked, 128156.000000, 85.000000, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0
setvbuf, 128248.000000, 22.000000, 19, 0, 0, 0, 0, 2, 5, 14, 0, 0
setvbuf, 128276.000000, 22.000000, 19, 0, 0, 0, 0, 2, 5, 14, 0, 0
setvbuf, 128304.000000, 22.000000, 19, 0, 0, 0, 0, 2, 5, 14, 0, 0
__rt_heap_descriptor, 128341.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
malloc, 128338.000000, 34.000000, 26, 0, 0, 0, 0, 7, 6, 17, 0, 0
_sys_command_string, 128377.000000, 9.000000, 9, 0, 0, 0, 0, 1, 2, 5, 0, 0
__rt_heap_descriptor, 128505.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
malloc, 128502.000000, 34.000000, 26, 0, 0, 0, 0, 7, 6, 17, 0, 0
SystemCoreClockUpdate, 128603.000000, 8.000000, 8, 0, 0, 0, 0, 0, 1, 8, 0, 0
get_system_ticks, 128650.000000, 19.000000, 19, 0, 0, 0, 0, 9, 1, 11, 0, 0
get_system_ticks, 128673.000000, 19.000000, 19, 0, 0, 0, 0, 9, 1, 11, 0, 0
update_perf_counter, 128633.000000, 66.000000, 28, 0, 0, 0, 0, 8, 6, 17, 0, 0
__perf_os_patch_init, 128708.000000, 1.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
init_cycle_counter, 128614.000000, 96.000000, 28, 0, 0, 0, 0, 5, 10, 17, 0, 0
platform_init, 128598.000000, 4905.000000, 4160, 0, 0, 0, 0, 6, 1032, 3254, 0, 0
get_system_ticks, 133536.000000, 19.000000, 19, 0, 0, 0, 0, 9, 1, 11, 0, 0
get_system_ticks, 133559.000000, 19.000000, 19, 0, 0, 0, 0, 9, 1, 11, 0, 0
update_perf_counter, 133519.000000, 66.000000, 28, 0, 0, 0, 0, 8, 6, 17, 0, 0
__perf_os_patch_init, 133594.000000, 1.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
__perf_counter_init, 133510.000000, 86.000000, 19, 0, 0, 0, 0, 3, 6, 12, 0, 0
__aeabi_errno_addr, 133618.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
__rt_ctype_table, 133635.000000, 2.000000, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0
strtol, 133626.000000, 11.000000, 9, 0, 0, 0, 0, 1, 1, 6, 0, 0
atoi, 133615.000000, 22.000000, 9, 0, 0, 0, 0, 0, 1, 5, 0, 0
main, 133602.000000, 35.000000, 12, 0, 0, 0, 0, 1, 5, 8, 0, 0
__rt_entry_main, 133601.000000, 36.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
__rt_lib_init_cpp_1, 133600.000000, 37.000000, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0
__cpp_initialize__aeabi_, 128582.000000, 5055.000000, 26, 0, 0, 0, 0, 6, 3, 15, 0, 0
__rt_lib_init_alloca_1, 128581.000000, 5056.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
__ARM_get_argv, 128331.000000, 5306.000000, 154, 0, 0, 0, 0, 15, 13, 125, 0, 0
__ARM_argv_veneer, 128330.000000, 5307.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
__rt_lib_init_argv_1, 128329.000000, 5308.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_initio, 127866.000000, 5771.000000, 64, 0, 0, 0, 0, 16, 7, 40, 0, 0
__rt_lib_init_atexit_1, 127865.000000, 5772.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_get_lc_ctype, 127857.000000, 5780.000000, 6, 0, 0, 0, 0, 2, 2, 4, 0, 0
__rt_lib_init_lc_collate_1, 127854.000000, 5783.000000, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0
_chval, 133671.000000, 9.000000, 8, 0, 0, 0, 0, 0, 0, 7, 0, 0
_chval, 133692.000000, 11.000000, 8, 0, 0, 0, 0, 0, 0, 7, 0, 0
_strtoul, 133654.000000, 58.000000, 36, 0, 0, 0, 0, 3, 1, 29, 0, 0
_printf_input_char, 133755.000000, 5.000000, 5, 0, 0, 0, 0, 2, 1, 3, 0, 0
_sys_istty, 133803.000000, 6.000000, 6, 0, 0, 0, 0, 1, 2, 4, 0, 0
__rt_heap_descriptor, 133820.000000, 2.000000, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0
malloc, 133817.000000, 34.000000, 26, 0, 0, 0, 0, 7, 6, 17, 0, 0
__flsbuf, 133770.000000, 122.000000, 78, 0, 0, 0, 0, 19, 9, 56, 0, 0
fputc, 133765.000000, 127.000000, 4, 0, 0, 0, 0, 1, 0, 3, 0, 0
_printf_input_char, 133899.000000, 5.000000, 5, 0, 0, 0, 0, 2, 1, 3, 0, 0
__flsbuf, 133914.000000, 64.000000, 61, 0, 0, 0, 0, 14, 7, 45, 0, 0
fputc, 133909.000000, 69.000000, 4, 0, 0, 0, 0, 1, 0, 3, 0, 0
_printf_input_char, 133985.000000, 5.000000, 5, 0, 0, 0, 0, 2, 1, 3, 0, 0
__flsbuf, 134000.000000, 64.000000, 61, 0, 0, 0, 0, 14, 7, 45, 0, 0
